Service,With OTP code or single-use link,Total
Other,16187807,24909932
Uber,4964713,7228771
Dent,5940129,5940162
Facebook,2240175,2586578
Whatsapp,1897454,1978337
Instagram,1489236,1957312
Paypal,1431205,1851893
Amazon,1771633,1845798
Shopee,1708852,1788535
DisneyHotstar,1762907,1766449
Tiktok,965083,1084692
Tinder,792962,794376
Telegram,711591,713183
Kakaotalk,664821,664836
TeamMatrimony,259579,631894
Netease,607756,610756
Google,574315,607554
Discord,447422,566676
Vk,553894,553904
Neuprime,543022,543022
NvidiaAndVmware,433273,433273
Clubhouse,387773,389865
Snapchat,333101,377824
YallaLudo,377461,377466
UberEats,303,373605
Kwai,338139,356383
SonyLiv,314524,314840
Youtube,309089,310811
Zalo,1495,310505
Likee,307317,307360
Yubo,283250,292297
BigoLive,289441,289456
Listia,283106,283106
Chamet,265284,265837
Mcent,252255,252255
Apple,241145,242460
Yalla,238469,238485
Aliexpress,214637,214852
Protonmail,199800,200843
HelloYo,187693,187693
GoogleVoice,183953,187197
Bolt,106648,184990
Gameflip,170831,172124
Kucoin,154762,160023
MrSpin,3740,154834
Imo,154523,154523
Ebay,130059,131370
Getir,99473,120366
Okcupid,118400,118479
WhatsappBusiness,97248,118424
Libon,117257,117264
Winzo,104013,111103
Foodpanda,105117,110693
Tumile,105924,105937
CashApp,78945,100232
Wechat,91503,92479
Unacademy,81071,82541
Tamtam,61552,80895
SnackVideo,72604,77408
Coinbase,57913,76828
Microsoft,64175,76461
Lime,75415,75426
Olaparty,56583,72799
Rappi,71262,71472
Blablacar,5296,71069
MicrosoftAzure,67517,67522
Hago,32886,67346
Revolut,54310,61951
Livu,61513,61537
Klarna,52914,61290
PlentyOfFish,60962,60962
Sharechat,60355,60885
Sony,51292,60656
Netflix,57061,60070
Hinge,56186,56207
Linkedin,55053,55445
VulkanVegas,54030,54917
IkanoBank,54588,54588
Flyp,53088,53138
Signal,52794,52800
Didi,48423,50836
Jio,45175,50598
Payoneer,49689,50084
Roposo,49425,49428
Varo,49305,49305
HuaweiId,42544,47045
CircleK,2880,46956
Trovo,46596,46606
Viber,45314,45935
Twilio,39087,45869
Rooter,45497,45535
Okex,25683,43623
Baidu,42062,43411
Shaadi,13256,42358
Binance,32970,41238
Twitter,39536,41219
Tiki,40204,40220
Zee5,36326,40152
Skype,15745,39864
Stripe,38815,39768
Line,36187,39534
Yoho,38935,38942
Dott,38258,38297
Vulkanbet,37143,38232
Deliveroo,36892,37513
Peerbet,37369,37369
Wind,36998,36998
Steam,10179,36811
BlizzardEntertainment,33951,35790
Careem,30724,34501
Olx,32494,33540
Roblox,26673,32455
Gopuff,24928,32120
Oyetalk,30854,30854
CourseHero,8664,30846
Paytm,25203,30165
DidiFood,27140,28059
Galaxy,19690,27389
Zarca,26871,27356
Zomato,25224,26524
Hubspot,26244,26251
Zhihu,25730,25730
GoogleCloud,25668,25687
Blued,25198,25223
Rumble,25197,25198
Hpool,24718,24728
TataSky,23162,23743
Naver,23445,23457
Foodora,13664,23399
Alipay,22655,23229
NarendraModiApp,23132,23132
Vedantu,19065,23101
As2in1Mobile,0,22126
Twitch,19745,21842
Skillclash,21759,21759
NumeroEsim,21125,21125
Wish,14234,21040
Flipkart,18935,20970
Bumble,20110,20385
Stormgain,19467,20073
Dhani,17893,19481
Vivaldi,18410,18410
Lyka,15116,18399
Talku,18327,18362
PlaystationNetwork,17289,17331
Zip,15516,16092
Heytap,759,15839
Pampers,14574,15424
Nhs,15188,15381
Byjus,13728,14801
Hi,14367,14368
Zain,14279,14313
Moneylion,14044,14301
Mailru,7845,13968
Qiwi,12171,13842
MiAccount,12248,12266
Textplus,4966,11911
Oneopinion,11045,11796
Gofundme,10736,11657
TiktokAds,9221,11648
Batchat,11497,11497
Pharmeasy,5075,11476
Weibo,11340,11359
Skout,10229,10455
Cowin,9443,10004
Rush,8966,9771
Zoho,9268,9696
Maxent,8913,9659
Habl,8693,9413
AmazonPay,174,9095
Frankspeech,2076,8683
Doosra,7466,7540
Steemit,7162,7166
Egifter,6827,6827
Wecom,6672,6809
Welo,6802,6802
MicrosoftRewards,6158,6160
Swissborg,6064,6090
VivaWallet,5814,5815
Flurv,5792,5792
Partying,5182,5667
Soul,5655,5655
Thumbtack,8,5431
Cabify,5239,5239
Clipclaps,5106,5151
Webmoney,3917,4934
Craigslist,4841,4910
Vrbo,4358,4397
Qichacha,4234,4234
Textnow,3929,4012
Royalwin,3505,3505
AlibabaCloud,3385,3387
Alibaba,3370,3386
Kafu,3184,3195
Zilliqa,3135,3135
Smood,3079,3088
YallaChat,2926,2926
Sagoon,2770,2770
EmpowerFinance,36,2598
Blockscout,1670,1670
Taobao,1546,1546
Partychat,1488,1488
Surveyo24,1285,1285
JumiaFood,1073,1073
CareemPay,121,753
Myopinions,703,703
Gabi,0,440
Overbit,176,217
ShopeePay,139,139
MicrosoftTeams,5,39
LineWorks,33,33
Steemhunt,28,28
YallaParchis,13,13
